S/N,NAME,GENDER,PARTY,VOTES,ELECTED,SENATORIAL DISTRICT,STATE,ELECTION-TYPE,ZONE
14,AKAWU BABA,M,SDP,785,,PLATEAU-NORTH,PLATEAU,SENATE,
1,FANTO NAOMI JANE,FEMALE,ADP,868,,PLATEAU-SOUTH,PLATEAU,SENATE,
2,LONGJAN IGNATIUS DATONG,MALE,APC,"140,918",ELECTED,PLATEAU-SOUTH,PLATEAU,SENATE,
3,MICHEAL MUDI NYIBIAM,MALE,DA,145,,PLATEAU-SOUTH,PLATEAU,SENATE,
4,RAYMOND CLEMENT,MALE,JMPP,9,,PLATEAU-SOUTH,PLATEAU,SENATE,
5,MAMFA LADI NUN,FEMALE,MPN,30,,PLATEAU-SOUTH,PLATEAU,SENATE,
6,TANKO  PATRICK PIANGUN,MALE,NRM,167,,PLATEAU-SOUTH,PLATEAU,SENATE,
7,KEFAS PETER DANDAM,MALE,PDP,"132,441",,PLATEAU-SOUTH,PLATEAU,SENATE,
8,DONGTOE CECILIA NOKNAAN,FEMALE,PPC,292,,PLATEAU-SOUTH,PLATEAU,SENATE,
9,JOHN SUNDAY NANWA,MALE,PPN,34,,PLATEAU-SOUTH,PLATEAU,SENATE,
10,YOUMPANG SINKIT JALMEL,MALE,PT,13,,PLATEAU-SOUTH,PLATEAU,SENATE,
11,NAANLONG NICODEMUS,MALE,SDP,445,,PLATEAU-SOUTH,PLATEAU,SENATE,
12,INUWA SANUSI MOHAMMED,MALE,UPP,21,,PLATEAU-SOUTH,PLATEAU,SENATE,
1,NWUKE AZUBUIKE,M,A,"9,852",,RIVERS-EAST,RIVERS,SENATE,
2,OHALE SYLVESTER,M,AA,734,,RIVERS-EAST,RIVERS,SENATE,
3,IBEMORAH NWANNEKA JANET,F,ACPN,543,,RIVERS-EAST,RIVERS,SENATE,
4,OGBONNA CLAY NDUKA,M,ADC,"2,865",,RIVERS-EAST,RIVERS,SENATE,
5,ABAM OCHEDUKOKUMA JOHN,M,APDA,851,,RIVERS-EAST,RIVERS,SENATE,
6,KPALKU HAMLET,M,APP,475,,RIVERS-EAST,RIVERS,SENATE,
7,THOMAS ANGELA CHIKIADINAKA,F,C4C,139,,RIVERS-EAST,RIVERS,SENATE,
8,OKORUWA IBIFURO EHI,M,DA,469,,RIVERS-EAST,RIVERS,SENATE,
9,OLERU EMEKA SOMIAR,M,GPN,"1,468",,RIVERS-EAST,RIVERS,SENATE,
10,AMACHI STEPHEN A.,M,HDP,287,,RIVERS-EAST,RIVERS,SENATE,
11,ANAELE GRACE,F,ID,921,,RIVERS-EAST,RIVERS,SENATE,
12,MICHAELS-ATATA LESLIE VICTOR CHIZI,M,LP,"8,893",,RIVERS-EAST,RIVERS,SENATE,
13,KIANEM BONMENE,M,MMN,"3,027",,RIVERS-EAST,RIVERS,SENATE,
14,WUZOR QUEEN,F,NDLP,623,,RIVERS-EAST,RIVERS,SENATE,
15,SEKIBO GEORGE THOMPSON,M,PDP,"283,759",ELECTED,RIVERS-EAST,RIVERS,SENATE,
16,MINAINYO SUNDAY P.T,M,PPA,393,,RIVERS-EAST,RIVERS,SENATE,
17,NKEREKE ANDERSON,M,PPC,271,,RIVERS-EAST,RIVERS,SENATE,
18,OTAMIRI JOHNSON UGOCHUKWU,M,SDP,"2,598",,RIVERS-EAST,RIVERS,SENATE,
19,NNAMDI GODDAY IKECHI,M,ZLP,188,,RIVERS-EAST,RIVERS,SENATE,
1,BADEY SUAGE ALEXANDER,M,A,"6,155",,RIVERS-SOUTHEAST,RIVERS,SENATE,
2,MARTINS LENEBARI BRIGHT,M,ACD,980,,RIVERS-SOUTHEAST,RIVERS,SENATE,
3,LEKIA JANEY,F,ADC,779,,RIVERS-SOUTHEAST,RIVERS,SENATE,
4,BAKPEA SUNDAY NGBOR,M,APDA,877,,RIVERS-SOUTHEAST,RIVERS,SENATE,
5,KENDRICK JAJA T.,M,APP,235,,RIVERS-SOUTHEAST,RIVERS,SENATE,
6,MBEKE GODWIN BARIBEFII,M,C4C,552,,RIVERS-SOUTHEAST,RIVERS,SENATE,
7,COOKEYGAM CHAMBERLENE,M,DA,105,,RIVERS-SOUTHEAST,RIVERS,SENATE,
8,DEEKOR CHRISTIAN MEEBARI,M,GPN,43,,RIVERS-SOUTHEAST,RIVERS,SENATE,
9,MIIBARI ANYIMA,F,ID,237,,RIVERS-SOUTHEAST,RIVERS,SENATE,
10,PRINCE FAVOUR FELIX MUKA REUBEN,M,LP,480,,RIVERS-SOUTHEAST,RIVERS,SENATE,
11,ANYADIKE JOSEPH DIMKPA,M,MMN,34,,RIVERS-SOUTHEAST,RIVERS,SENATE,
12,SIADHPIRI JAJA F.,M,MPN,92,,RIVERS-SOUTHEAST,RIVERS,SENATE,
13,SAMSON KPEALE,F,MRDD,43,,RIVERS-SOUTHEAST,RIVERS,SENATE,
14,OGOLO SATURDAY STEPHEN,M,NDLP,57,,RIVERS-SOUTHEAST,RIVERS,SENATE,
15,LOLNYIELO DAGONNY GODWIN,M,NPC,283,,RIVERS-SOUTHEAST,RIVERS,SENATE,
16,PEPPLE KENNETH GODWILL,M,PDC,170,,RIVERS-SOUTHEAST,RIVERS,SENATE,
17,MPIGI BARINADA,M,PDP,"247,182",ELECTED,RIVERS-SOUTHEAST,RIVERS,SENATE,
18,ATUKOMI ZORBARI,M,PPA,142,,RIVERS-SOUTHEAST,RIVERS,SENATE,
19,NGBO INNOCENT WALKER,M,PPC,314,,RIVERS-SOUTHEAST,RIVERS,SENATE,
20,DONBARIDAM GODAE,M,SDP,"2,087",,RIVERS-SOUTHEAST,RIVERS,SENATE,
21,OKENE KING NSIRIM KEDDINA,M,YES,74,,RIVERS-SOUTHEAST,RIVERS,SENATE,
22,MICHAEL COMRADE PRINCE,M,ZLP,51,,RIVERS-SOUTHEAST,RIVERS,SENATE,
1,ADONYE P. FINECOUNTRY,M,A,"11,523",,RIVERS-WEST,RIVERS,SENATE,
2,ONWUKWE GREATMAN,M,AA,887,,RIVERS-WEST,RIVERS,SENATE,
3,JEFFERSON IGWE,M,ADC,"2,340",,RIVERS-WEST,RIVERS,SENATE,
4,EZEKIEL ORLU CHAKA,M,APDA,394,,RIVERS-WEST,RIVERS,SENATE,
5,GIFT OBARA,M,APP,437,,RIVERS-WEST,RIVERS,SENATE,
6,OSADEME VIVIAN,F,C4C,131,,RIVERS-WEST,RIVERS,SENATE,
7,TIEKOR BOB-MANUEL,M,DA,158,,RIVERS-WEST,RIVERS,SENATE,
8,LIONEL OPUADA PEPPLE,M,ID,113,,RIVERS-WEST,RIVERS,SENATE,
9,OGBOWU ELEMCHUKWU,M,LP,"4,134",,RIVERS-WEST,RIVERS,SENATE,
10,SYGNS IBIGBEYE,F,MRDD,182,,RIVERS-WEST,RIVERS,SENATE,
11,WARI TAMUNOTONYE OBAZI,M,NDLP,286,,RIVERS-WEST,RIVERS,SENATE,
12,EBINI IBIOBELEARI OBOMATE,F,NPC,210,,RIVERS-WEST,RIVERS,SENATE,
13,ORIGBO HENRY,M,NUP,149,,RIVERS-WEST,RIVERS,SENATE,
14,APIAFI BETTY JOCELYN,F,PDP,"159,215",ELECTED,RIVERS-WEST,RIVERS,SENATE,
15,OKPEWONO JOYCE JACKS,F,PPA,386,,RIVERS-WEST,RIVERS,SENATE,
16,OBAGHAMA DIGHOBO E,M,SDP,"20,139",,RIVERS-WEST,RIVERS,SENATE,
17,BOLOUBOERE GEORGE O.,F,UPN,170,,RIVERS-WEST,RIVERS,SENATE,
18,FRANCIS DON-PEDRO OKPARA,M,ZLP,118,,RIVERS-WEST,RIVERS,SENATE,
1,ABDULRAHMAN ABUBAKAR USMAN,M,AAP,58,,SOKOTO-EAST,SOKOTO,SENATE,
2,USMAN IBRAHIM WAURU,M,ACPN,62,,SOKOTO-EAST,SOKOTO,SENATE,
3,UMARU MUHAMMAD,M,AD,67,,SOKOTO-EAST,SOKOTO,SENATE,
4,AHMED BELLO AHMED,M,ADC,88,,SOKOTO-EAST,SOKOTO,SENATE,
5,MURTALA ISAH,M,AGA,76,,SOKOTO-EAST,SOKOTO,SENATE,
6,BASHAR BELLO,M,AGAP,94,,SOKOTO-EAST,SOKOTO,SENATE,
7,TUKUR MUSTAPHA,M,ANDP,235,,SOKOTO-EAST,SOKOTO,SENATE,
8,GOBIR IBRAHIM ABDULLAHI,M,APC,"170,665",ELECTED,SOKOTO-EAST,SOKOTO,SENATE,
9,ALHASSAN IDI GATAWA,M,APDA,41,,SOKOTO-EAST,SOKOTO,SENATE,
10,PETER EJEH IGWE,M,CAP,106,,SOKOTO-EAST,SOKOTO,SENATE,
11,BELLO ABBAS,M,DA,77,,SOKOTO-EAST,SOKOTO,SENATE,
12,SANI ABDULLAHI GARBA,M,DPP,127,,SOKOTO-EAST,SOKOTO,SENATE,
13,MIKA'ILU SALMANU,M,GPN,37,,SOKOTO-EAST,SOKOTO,SENATE,
14,MOHAMMED BASHIR UMAR,M,JMPP,74,,SOKOTO-EAST,SOKOTO,SENATE,
15,MU'AZU BELLO,M,KP,33,,SOKOTO-EAST,SOKOTO,SENATE,
16,ABUBAKAR MUHAMMAD,M,LP,60,,SOKOTO-EAST,SOKOTO,SENATE,
17,SAMBO BABALE,M,MMN,41,,SOKOTO-EAST,SOKOTO,SENATE,
18,MOHAMMED SHIYTU,M,MPN,54,,SOKOTO-EAST,SOKOTO,SENATE,
19,LAUWALI KAKALE,M,MRDD,75,,SOKOTO-EAST,SOKOTO,SENATE,
20,MAMUDA  SANI,M,NCP,50,,SOKOTO-EAST,SOKOTO,SENATE,
21,AHMAD BELLO,M,NDLP,141,,SOKOTO-EAST,SOKOTO,SENATE,
22,GANI ISAH,M,NEPP,94,,SOKOTO-EAST,SOKOTO,SENATE,
23,MURTALA SHEHU,M,NPC,169,,SOKOTO-EAST,SOKOTO,SENATE,
24,SULEMAN ABDULLAHI,M,NUP,924,,SOKOTO-EAST,SOKOTO,SENATE,
1,UMAR HAFSATU,F,A,30,,SOKOTO-NORTH,SOKOTO,SENATE,
2,ABDULRAHMAN ABUBAKAR,M,AAP,221,,SOKOTO-NORTH,SOKOTO,SENATE,
3,MOHAMMED ABUBARKAR LABARAN,M,ACPN,49,,SOKOTO-NORTH,SOKOTO,SENATE,
4,UMARU USMAN,M,AD,58,,SOKOTO-NORTH,SOKOTO,SENATE,
5,MOHAMMED BANDADO YUSUF,M,ADC,70,,SOKOTO-NORTH,SOKOTO,SENATE,
6,IBRAHIM SALISU,M,AGA,73,,SOKOTO-NORTH,SOKOTO,SENATE,
7,ABUBAKAR BUDA,M,AGAP,121,,SOKOTO-NORTH,SOKOTO,SENATE,
8,SAIDU S/GOBIR,M,ANDP,81,,SOKOTO-NORTH,SOKOTO,SENATE,
9,UMAR ABUBAKAR,M,APA,455,,SOKOTO-NORTH,SOKOTO,SENATE,
10,WAMAKO ALIYU MAGATAKARDA,M,APC,"172,980",ELECTED,SOKOTO-NORTH,SOKOTO,SENATE,
11,YUSUF MANIR ADAMU,M,APDA,"1,104",,SOKOTO-NORTH,SOKOTO,SENATE,
12,ABUBAKAR ZAINAB,F,APGA,209,,SOKOTO-NORTH,SOKOTO,SENATE,
13,NASIRU IBRAHIM,M,CAP,54,,SOKOTO-NORTH,SOKOTO,SENATE,
14,MACCIDO USMAN,M,DA,58,,SOKOTO-NORTH,SOKOTO,SENATE,
15,ABDULLAHI BUHARI,M,DPC,39,,SOKOTO-NORTH,SOKOTO,SENATE,
16,SANUSI MUHAMMAD YARO,M,FRESH,56,,SOKOTO-NORTH,SOKOTO,SENATE,
17,ABDULLAHI MU'AZU,M,GPN,50,,SOKOTO-NORTH,SOKOTO,SENATE,
18,UMAR USMAN,M,ID,40,,SOKOTO-NORTH,SOKOTO,SENATE,
19,HASSAN SALIHU SARDAUNA,M,JMPP,20,,SOKOTO-NORTH,SOKOTO,SENATE,
20,UMAR ABUBAKAR,M,KP,45,,SOKOTO-NORTH,SOKOTO,SENATE,
21,ABUBAKAR SAMAILA,M,LP,45,,SOKOTO-NORTH,SOKOTO,SENATE,
22,AHMAD BELLO,M,MPN,41,,SOKOTO-NORTH,SOKOTO,SENATE,
23,BELLO FARUKU,M,MRDD,156,,SOKOTO-NORTH,SOKOTO,SENATE,
24,BUHARI SHAFATU,M,NAC,57,,SOKOTO-NORTH,SOKOTO,SENATE,
25,MUAZU SIDI,M,NCP,75,,SOKOTO-NORTH,SOKOTO,SENATE,
1,NASIRU ABUBAKAR,M,AA,20,,SOKOTO-SOUTH,SOKOTO,SENATE,
2,MUKUTAR BUKHARI,M,ABP,22,,SOKOTO-SOUTH,SOKOTO,SENATE,
3,BUHARI ABUBAKAR,M,AD,21,,SOKOTO-SOUTH,SOKOTO,SENATE,
4,ZAYYAN MOH'D SAMBO,M,ADC,41,,SOKOTO-SOUTH,SOKOTO,SENATE,
5,GARBA ALIYU KEBBE,M,AGA,111,,SOKOTO-SOUTH,SOKOTO,SENATE,
6,BELLO UMAR,M,APA,224,,SOKOTO-SOUTH,SOKOTO,SENATE,
7,SHEHU ABUBAKAR TAMBUWAL,M,APC,"134,204",ELECTED,SOKOTO-SOUTH,SOKOTO,SENATE,
8,MAHE DANGE,M,APDA,343,,SOKOTO-SOUTH,SOKOTO,SENATE,
9,NASIRU USMAN,M,APGA,631,,SOKOTO-SOUTH,SOKOTO,SENATE,
10,BALA MURTALA,M,CAP,24,,SOKOTO-SOUTH,SOKOTO,SENATE,
11,BELLO MALAMI,M,DPC,39,,SOKOTO-SOUTH,SOKOTO,SENATE,
12,IBRAHIM MAIAKWAI,M,DPP,74,,SOKOTO-SOUTH,SOKOTO,SENATE,
13,MUSA SIRAJO,M,FRESH,21,,SOKOTO-SOUTH,SOKOTO,SENATE,
14,MURTALA ABDULLAHI,M,GPN,9,,SOKOTO-SOUTH,SOKOTO,SENATE,
15,ABUBAKAR UMAR ALKANCI,M,ID,25,,SOKOTO-SOUTH,SOKOTO,SENATE,
16,JABBI HASSAN MAYAMA,M,JMPP,11,,SOKOTO-SOUTH,SOKOTO,SENATE,
17,ALTINE BELLO,M,KP,21,,SOKOTO-SOUTH,SOKOTO,SENATE,
18,ZARUMI ABUBAKAR,M,LP,25,,SOKOTO-SOUTH,SOKOTO,SENATE,
19,MUHAMMAD SULEMAN,M,MRDD,39,,SOKOTO-SOUTH,SOKOTO,SENATE,
20,SANUSI IMAMU,M,NCP,71,,SOKOTO-SOUTH,SOKOTO,SENATE,
21,ZUBAIRU ABDU MAGAYAKI,M,NDLP,114,,SOKOTO-SOUTH,SOKOTO,SENATE,
22,JELANI MUHAMMED,M,NEPP,43,,SOKOTO-SOUTH,SOKOTO,SENATE,
23,ISAH MALAMI,M,NPC,477,,SOKOTO-SOUTH,SOKOTO,SENATE,
24,BELLO SULAIMAN,M,NUP,293,,SOKOTO-SOUTH,SOKOTO,SENATE,
25,ABDULLAHI IBRAHIM DANBABA,M,PDP,"112,546",,SOKOTO-SOUTH,SOKOTO,SENATE,
1,GALADIMA ANTHONY,M,ACD,60,,TARABA-CENTRAL,TARABA,SENATE,
2,MOHAMMED HASSAN,M,AGA,239,,TARABA-CENTRAL,TARABA,SENATE,
3,YUSUF ABUBAKAR YUSUF,M,APC,"98,860",ELECTED,TARABA-CENTRAL,TARABA,SENATE,
4,NYANGANJI GILBERT GILLS,M,APGA,"13,319",,TARABA-CENTRAL,TARABA,SENATE,
5,MUSA EZEKIEL,M,APP,80,,TARABA-CENTRAL,TARABA,SENATE,
6,MOHAMMED BUBA,M,DA,64,,TARABA-CENTRAL,TARABA,SENATE,
7,HASSAN MUSA,M,NRM,46,,TARABA-CENTRAL,TARABA,SENATE,
8,BAKO DAHIRU GASSOL,M,PDP,"95,074",,TARABA-CENTRAL,TARABA,SENATE,
9,ABDULAZEEZ ABUBAKAR IBRAHIM,M,SDP,"4,564",,TARABA-CENTRAL,TARABA,SENATE,
10,VAKI ABDULMUMINI,M,UDP,"7,653",,TARABA-CENTRAL,TARABA,SENATE,
11,MUSA MOHAMMED,M,YPP,53,,TARABA-CENTRAL,TARABA,SENATE,
1,SILAS USMAN JEN,M,ABP,22,,TARABA-NORTH,TARABA,SENATE,
2,THEOPHILUS INNOCENT B,M,ACD,93,,TARABA-NORTH,TARABA,SENATE,
3,BATURE ADAMA ZAKARI,F,ACPN,"1,305",,TARABA-NORTH,TARABA,SENATE,
4,MANZO HADIZA MOHAMMED,F,ADC,183,,TARABA-NORTH,TARABA,SENATE,
5,EDWARD GEOFFREY,M,ADP,106,,TARABA-NORTH,TARABA,SENATE,
6,MONGU-PARK GAJERE JEN,M,AGA,314,,TARABA-NORTH,TARABA,SENATE,
7,ADAMU UMAR,M,ANP,361,,TARABA-NORTH,TARABA,SENATE,
8,YUSUF AHMED ADAMU,M,APC,"111,412",,TARABA-NORTH,TARABA,SENATE,
9,CHARLES KAIGAMA,M,APGA,"2,180",,TARABA-NORTH,TARABA,SENATE,
10,UMAR ALHAJI AHMAD,M,DA,37,,TARABA-NORTH,TARABA,SENATE,
11,YUNUSA UMAR KARIM,M,DPP,114,,TARABA-NORTH,TARABA,SENATE,
12,YAKUBU DANIEL ELDER,M,JMPP,41,,TARABA-NORTH,TARABA,SENATE,
13,USMAN SHAIBU,M,LP,161,,TARABA-NORTH,TARABA,SENATE,
14,IBRAHIM SANI,M,NRM,"1,635",,TARABA-NORTH,TARABA,SENATE,
15,ISA SHUAIBU LAU,M,PDP,"113,580",ELECTED,TARABA-NORTH,TARABA,SENATE,
16,BELLO ABDULHAMEED,M,PPA,446,,TARABA-NORTH,TARABA,SENATE,
17,SIMAN JOHN,M,SDP,"24,698",,TARABA-NORTH,TARABA,SENATE,
18,TIPPI SHUAIBU,M,UDP,"5,746",,TARABA-NORTH,TARABA,SENATE,
19,ALH. SAADU ABUBAKAR HASSAN,M,YPP,67,,TARABA-NORTH,TARABA,SENATE,
1,TOR-AGBIYE YAKUBU,M,AA,"13,611",,TARABA-SOUTH,TARABA,SENATE,
2,DANJUMA SHUAIBU TSAKWA,M,ACD,230,,TARABA-SOUTH,TARABA,SENATE,
3,NASIRU MOHAMMED ALI,M,ACPN,436,,TARABA-SOUTH,TARABA,SENATE,
4,MUSA NNDCYANGCHU KURUST,M,ADC,161,,TARABA-SOUTH,TARABA,SENATE,
5,AGBU DANGANA,M,AGA,308,,TARABA-SOUTH,TARABA,SENATE,
6,BAUKA ISHAYA GAMGUM,M,APC,"51,921",,TARABA-SOUTH,TARABA,SENATE,
7,JOEL IKENYA DANLAMI,M,APGA,"47,093",,TARABA-SOUTH,TARABA,SENATE,
8,ALIYU MUHAMMAD ABUBAKAR,M,DA,54,,TARABA-SOUTH,TARABA,SENATE,
9,MUSA VICTOR ABERSHI,M,JMPP,8,,TARABA-SOUTH,TARABA,SENATE,
10,UMAR IDRIS,M,MRDD,6,,TARABA-SOUTH,TARABA,SENATE,
11,BABANGIDA BABAN ZAURE,M,NRM,81,,TARABA-SOUTH,TARABA,SENATE,
12,BWACHA EMMANUEL,M,PDP,"96,352",ELECTED,TARABA-SOUTH,TARABA,SENATE,
13,DAUDA ISA G,M,SDP,337,,TARABA-SOUTH,TARABA,SENATE,
14,IBRAHIM ADAMU TUBASE,M,UDP,"15,123",,TARABA-SOUTH,TARABA,SENATE,
15,ATOSHI ADI AGBU,M,YDP,267,,TARABA-SOUTH,TARABA,SENATE,
16,AMADU YAKUBU,M,YPP,62,,TARABA-SOUTH,TARABA,SENATE,
1,GAIDAM IBRAHIM ALHAJI,MALE,APC,"139,277",ELECTED,YOBE-EAST,YOBE,SENATE,
2,ISAH ISAH,MALE,DA,511,,YOBE-EAST,YOBE,SENATE,
3,TATA ABBA GANA,MALE,PDP,"18,059",,YOBE-EAST,YOBE,SENATE,
1,IBRAHIM AHMAD LAWAL,MALE,APC,"144,099",ELECTED,YOBE-NORTH,YOBE,SENATE,
2,NURA MUSA,MALE,DA,510,,YOBE-NORTH,YOBE,SENATE,
3,BAKUNDI LAWAN,MALE,MPN,774,,YOBE-NORTH,YOBE,SENATE,
4,ABDULLAHI SHARIF,MALE,PDP,"53,443",,YOBE-NORTH,YOBE,SENATE,
1,BOMAI IBRAHIM MOHAMMED,MALE,APC,"118,729",ELECTED,YOBE-SOUTH,YOBE,SENATE,
2,DANJUMA HABILA,MALE,APGA,473,,YOBE-SOUTH,YOBE,SENATE,
3,RABIU GARBA,MALE,BNPP,232,,YOBE-SOUTH,YOBE,SENATE,
4,UMAR NURA,MALE,DA,146,,YOBE-SOUTH,YOBE,SENATE,
5,JAJERE HADIZA M. ISA,FEMALE,MPN,132,,YOBE-SOUTH,YOBE,SENATE,
6,MOHAMMED HASSAN,MALE,PDP,"89,049",,YOBE-SOUTH,YOBE,SENATE,
7,HARUNA BAWA WAZIRI,MALE,SDP,"1,483",,YOBE-SOUTH,YOBE,SENATE,
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
1,MOHAMMED AHMED MUKTAR,M,A,"38,991",,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
2,UMAR ABUBAKAR,M,ACD,787,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
3,TIJANI SANI,M,ACPN,192,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
4,MANSUR MUHAMMED,M,AD,55,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
5,MISBAHU BELLO,M,ADC,343,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
6,IDRIS SALISU,M,AGAP,202,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
,,,,,Votes,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
,,,,,Declared,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
7,ALIYU IKRA BILBIS,M,APC,"74,792",Wasted by,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
,,,,,the Supreme,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
,,,,,Court,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
8,GARBA ALIYU GUSAU,M,APDA,"2,134",,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
9,USMAN KABIRU,M,APGA,"3,351",,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
10,ALIYU JAMILU,M,APP,"1,017",,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
11,MUHAMMED SULEIMAN,M,BNPP,29,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
12,MOHAMMED LIHIDDA AHMED,M,CAP,15,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
13,MUHAMMAD BILYA,M,DA,12,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
14,ILIYASU NASIRU,M,DPC,48,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
15,IBRAHIM MUHAMMAD,M,DPP,69,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
16,BILYAMINU ABDULLAHI,M,FJP,351,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
17,BABANGIDA UMAR MUHAMMAD,M,GPN,934,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
18,ANAS IBRAHIM,M,HDP,24,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
19,BARR. IBRAHIM NATSAHARA,M,JMPP,35,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
20,ADAMU MOHAMMED,M,MPN,141,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
21,MAYANA NA-ALLAH ISA,M,NRM,"10,590",,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
,,,,,Declared,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
22,MOHAMMED HASSAN,M,PDP,"54,859",Elected (By,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
,,,,,Supreme Court,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
,,,,,Order),ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
23,ADAMU BASHAR,M,PPA,96,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
24,TAMBAI BELLO MOHAMMED,M,PPN,78,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
25,RABIU MANNIR,M,PRP,69,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
26,ABUBAKAR MOHAMMED,M,PT,14,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
27,SANI AMINU,M,SDP,42,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
28,SAWIDI IBRAHIM,M,UPC,7,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
29,YUSUF SANI,M,ZLP,12,,ZAMFARA-CENTRAL-1,ZAMFARA,SENATE,
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
1,MAIGANDI ABUBAKAR,M,A,"2,152",,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
2,BELLO NAJAMUDDEEN,M,ACD,149,,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
3,MUHTARI ALIYU ALH.,M,AD,17,,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
4,MUKTAR ABDULAHI,M,ADC,53,,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
5,SAIDU MOHAMMED KWAMANDI,M,AGAP,180,,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
,,,,,Votes,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
,,,,,Declared,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
6,KAURA TIJJANI YAHAYA,M,APC,"68,027",Wasted by,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
,,,,,the Supreme,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
,,,,,Court,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
7,IBRAHIM SANI,M,APDA,352,,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
8,MOHAMMED ABDULLAHI,M,APGA,"3,618",,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
9,AMINU HARUNA,M,APP,14,,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
10,ALIYU GARBA,M,BNPP,9,,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
11,ASHIRU BAWA,M,C4C,14,,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
12,SULAIMAN ADAMU,M,DA,20,,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
13,ALTINE SURAJO,M,DPP,84,,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
14,BABANGIDA ATTAHIRU LAWAL,M,GPN,25,,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
15,AHMED ISA,M,NRM,"4,378",,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
,,,,,Declared,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
16,ALHAJI YA'U SAHABI,M,PDP,"43,521",Elected (By,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
,,,,,Supreme Court,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
,,,,,Order),ZAMFARA-NORTH-1,ZAMFARA,SENATE,
17,ZURMI MOHAMMED ALIYU,M,PPA,239,,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
18,ZURMI LAWALI NABALA,M,PPN,34,,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
19,ABDULLAHI MOHAMMED MAYASA,M,PT,35,,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
20,IBRAHIM BASHIR,M,UPC,16,,ZAMFARA-NORTH-1,ZAMFARA,SENATE,
