S/N,NAME,GENDER,PARTY,VOTES,ELECTED,SENATORIAL DISTRICT,STATE
1,EHICHANYA OBINNAYA,M,A,40,,ABIA-CENTRAL,ABIA
2,NWOKO QUINET IFUNANYACHUKWU,F,ACD,76,,ABIA-CENTRAL,ABIA
3,IKECHUKWU EVEREST EGEONU,M,ADC,297,,ABIA-CENTRAL,ABIA
4,NWAOGU NKECHI JUSTINA WOKOCHA,F,APC,"29,860",,ABIA-CENTRAL,ABIA
5,AJAEGBU CHIDI ONYEUKWU,M,APGA,"19,534",,ABIA-CENTRAL,ABIA
6,UGOCHUKWU DENNAR,M,DA,68,,ABIA-CENTRAL,ABIA
7,UGWA IFEYINWA ADANNE,F,FJP,62,,ABIA-CENTRAL,ABIA
8,OCHUAJA STEPHEN,M,GPN,14,,ABIA-CENTRAL,ABIA
9,OKOCHUKWU UWAEME,M,JMPP,50,,ABIA-CENTRAL,ABIA
10,UGELE UCHECHUKWU EMMANUEL,M,LP,365,,ABIA-CENTRAL,ABIA
11,ORJI THEODORE AHAMFULE,M,PDP,"55,461",Declared Elected,ABIA-CENTRAL,ABIA
12,OVUFE CHIGEKWU,M,PT,114,,ABIA-CENTRAL,ABIA
13,NWOSU CHIDI,M,SDP,753,,ABIA-CENTRAL,ABIA
14,NWOSU OZOEMELAM KENNETH,M,UPP,98,,ABIA-CENTRAL,ABIA
15,ESONU DANIEL,M,ZLP,29,,ABIA-CENTRAL,ABIA
1,EZUMA ODILICHUKWU,MALE,ADC,170,,ABIA-NORTH,ABIA
2,UKWA ORJI UKIWE EMEKA,MALE,ANP,93,,ABIA-NORTH,ABIA
3,KALU ORJI UZOR,MALE,APC,"31,201",Declared Elected,ABIA-NORTH,ABIA
4,ONUOHA BOURDEX DAVID OGBA,MALE,APGA,"11,410",,ABIA-NORTH,ABIA
5,MR OBINNA ELENDU,MALE,DA,46,,ABIA-NORTH,ABIA
6,AGUKU JOHN A.,MALE,ID,15,,ABIA-NORTH,ABIA
7,EGBEBU KALU NMAJU,MALE,LP,130,,ABIA-NORTH,ABIA
8,OHUABUNWA ARUKWE MAO,MALE,PDP,"20,801",,ABIA-NORTH,ABIA
9,JAMES JUSTICE MADUA,MALE,PPC,76,,ABIA-NORTH,ABIA
10,OBIAMA NWAFOR MBA,MALE,PT,38,,ABIA-NORTH,ABIA
11,NWEKE CHUKWUDI,MALE,RBNP,37,,ABIA-NORTH,ABIA
12,ENYIOMA AMBROSE UCHENNA,MALE,RP,27,,ABIA-NORTH,ABIA
13,IGBOKWE CHINYERE,MALE,SDP,429,,ABIA-NORTH,ABIA
14,UDE CHARLES,MALE,UDP,5,,ABIA-NORTH,ABIA
15,NWAKWUO VICTOR UGICHUKWU,MALE,UPP,37,,ABIA-NORTH,ABIA
16,CHIDIEBERE NWANNOH,MALE,ZLP,21,,ABIA-NORTH,ABIA
1,OGBUGO CHINEDU OLEDI UWA,F,ADC,295,,ABIA-SOUTH,ABIA
2,UCHEAGWU IJEOMA MORGAN,F,ANP,57,,ABIA-SOUTH,ABIA
3,WABARA INYANAGBO MARCUS,M,APC,"9,419",,ABIA-SOUTH,ABIA
4,NKWONTA CHRIS,M,APGA,"27,998",,ABIA-SOUTH,ABIA
5,GALDRE EZE,M,DA,75,,ABIA-SOUTH,ABIA
6,MGBEMENA IFEANYI UDUEZE,M,JMPP,1,,ABIA-SOUTH,ABIA
7,IJOMA MOSES OKEY,M,LP,534,,ABIA-SOUTH,ABIA
8,ABARIBE ENYINNAYA HARCOURT,M,PDP,"53,086",,ABIA-SOUTH,ABIA
9,ADIKWUM JOHN C,M,PT,30,,ABIA-SOUTH,ABIA
10,CHIGOZIRIM INNOCENT AHAIWE,M,RP,20,,ABIA-SOUTH,ABIA
11,NWANKWOJI DENNIS NWANOSIKE,M,SDP,711,,ABIA-SOUTH,ABIA
12,MADUFORO DAVID CHINEDU,M,UPP,283,,ABIA-SOUTH,ABIA
13,JOSEPHINE OSONDU,F,ZLP,24,,ABIA-SOUTH,ABIA
1,HUSSAINI KOLO,MALE,ACD,714,,ADAMAWA-CENTRAL,ADAMAWA
2,MUSTAPHA UMAR MADAWAKI,MALE,ADC,"36,030",,ADAMAWA-CENTRAL,ADAMAWA
3,GARBA AHAJI SALIHU,MALE,ANP,"1,553",,ADAMAWA-CENTRAL,ADAMAWA
4,DAHIRU AISHATU AHMED,FEMALE,APC,"188,526",,ADAMAWA-CENTRAL,ADAMAWA
5,ILIYASU MUSTAPHA,MALE,DA,479,,ADAMAWA-CENTRAL,ADAMAWA
6,COMRADE ALFRED AFRICANUS,MALE,JMPP,578,,ADAMAWA-CENTRAL,ADAMAWA
7,SHALLANGWA BUNU MAHMUD,MALE,KP,355,,ADAMAWA-CENTRAL,ADAMAWA
8,YUSUF GIFT SHALLANGWA,FEMALE,NPM,653,,ADAMAWA-CENTRAL,ADAMAWA
9,MODIBBO MURTALA MOHAMMED,MALE,PDP,"96,530",,ADAMAWA-CENTRAL,ADAMAWA
10,ILIYASU SHUAIBU,MALE,PPN,341,,ADAMAWA-CENTRAL,ADAMAWA
11,YERIMA DANTATA,MALE,PT,255,,ADAMAWA-CENTRAL,ADAMAWA
12,ISMAILA YAMUSA,MALE,SDP,"4,065",,ADAMAWA-CENTRAL,ADAMAWA
1,CHARLES DANIEL,MALE,ACD,237,,ADAMAWA-NORTH,ADAMAWA
2,PAWA MAYRAM E.,FEMALE,ADC,"13,001",,ADAMAWA-NORTH,ADAMAWA
3,WADUMNA WABULARI,FEMALE,AGA,794,,ADAMAWA-NORTH,ADAMAWA
4,GARBA MASI BINTA,FEMALE,APC,"63,219",,ADAMAWA-NORTH,ADAMAWA
5,ISA AHMED HATYATU,MALE,APDA,301,,ADAMAWA-NORTH,ADAMAWA
6,SHEIK IBRAHIM MUHAMMAD,MALE,APM,237,,ADAMAWA-NORTH,ADAMAWA
7,MICHIKA SAIFUL-MULUK SALEH,MALE,ASD,"1,100",,ADAMAWA-NORTH,ADAMAWA
8,SHARHABILU IYAH,MALE,DA,78,,ADAMAWA-NORTH,ADAMAWA
9,LYDIA ZIRA,FEMALE,JMPP,99,,ADAMAWA-NORTH,ADAMAWA
10,ISHAKU ELISHA CLIFF,MALE,PDP,"79,337",ELECTED,ADAMAWA-NORTH,ADAMAWA
11,MARK MOSES,MALE,PPC,191,,ADAMAWA-NORTH,ADAMAWA
12,ZIRA AMOS KWADA,MALE,PPN,76,,ADAMAWA-NORTH,ADAMAWA
13,VANDI FILLIE,MALE,PT,53,,ADAMAWA-NORTH,ADAMAWA
14,BUBA ABDULRAHMAN,MALE,SDP,"19,627",,ADAMAWA-NORTH,ADAMAWA
15,IBRAHIM TIZHE JAMES,MALE,YPP,75,,ADAMAWA-NORTH,ADAMAWA
1,NJIDDA ISMAILA,M,AA,132,,ADAMAWA-SOUTH,ADAMAWA
2,ZACHARY USMAN TAHIRU,M,ABP,340,,ADAMAWA-SOUTH,ADAMAWA
3,BULUS GODIYA,F,ACD,582,,ADAMAWA-SOUTH,ADAMAWA
4,PATRICIA SEUBITTERRE YAKUBU,F,ADC,"17,423",,ADAMAWA-SOUTH,ADAMAWA
5,ABUBAKAR AHMAD MDALLAHYIDI,M,APC,"118,130",,ADAMAWA-SOUTH,ADAMAWA
6,AUWAL GARBA,M,DA,338,,ADAMAWA-SOUTH,ADAMAWA
7,HAMIS BN ABDULKARIM,M,KP,"1,088",,ADAMAWA-SOUTH,ADAMAWA
8,AMINU MUHAMMAD BALA,M,MRDD,178,,ADAMAWA-SOUTH,ADAMAWA
9,YAROE BINOS DAUDA,M,PDP,"164,741",ELECTED,ADAMAWA-SOUTH,ADAMAWA
10,YONGO ANTHONY TOUGH,M,PPC,"1,866",,ADAMAWA-SOUTH,ADAMAWA
11,MBASALA REUBEN BASHAN,M,PPN,245,,ADAMAWA-SOUTH,ADAMAWA
12,NUHU AGNESS,F,PT,175,,ADAMAWA-SOUTH,ADAMAWA
13,MAHALAILU CALVIN ERISON,M,SDP,"3,005",,ADAMAWA-SOUTH,ADAMAWA
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,AKWA-IBOM-NORTH-WEST,AKWA
1,OWOIDIGHE AMOS OKON,M,AAP,482,,AKWA-IBOM-NORTH-WEST,AKWA
2,ETOKUKO UDO-ABRAHAM,M,AD,46,,AKWA-IBOM-NORTH-WEST,AKWA
3,EFFIONG CHRISTOPER FRIDAY,M,AGAP,148,,AKWA-IBOM-NORTH-WEST,AKWA
4,AKPABIO GODSWILL OBOT,M,APC,"83,158",,AKWA-IBOM-NORTH-WEST,AKWA
5,MENDIE SARAH MARSHALL,F,C4C,43,,AKWA-IBOM-NORTH-WEST,AKWA
6,INYANG PEACE MARTINS,F,DPP,118,,AKWA-IBOM-NORTH-WEST,AKWA
7,UWEM PAUL EKPO,M,FJP,79,,AKWA-IBOM-NORTH-WEST,AKWA
8,NKANANG NKANANG AKPAN,M,JMPP,14,,AKWA-IBOM-NORTH-WEST,AKWA
9,UDONKANG AKANIMO FIDELIS,M,NRM,57,,AKWA-IBOM-NORTH-WEST,AKWA
10,EKPENYONG CHRISTOPHER STEPHEN,M,PDP,"118,215",ELECTED,AKWA-IBOM-NORTH-WEST,AKWA
11,LUCY PIUS USEN,F,PPN,27,,AKWA-IBOM-NORTH-WEST,AKWA
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,AKWA-IBOM-NORTH-EAST,AKWA
1,EKPO EMMANUEL IME,MALE,AAP,166,,AKWA-IBOM-NORTH-EAST,AKWA
2,PRINCE WISDOM NYONG OBOT,MALE,AGAP,110,,AKWA-IBOM-NORTH-EAST,AKWA
3,ETIM BASSEY EFFIONG,MALE,APC,"60,930",,AKWA-IBOM-NORTH-EAST,AKWA
4,IBOK EMMANUEL LAWRENCE,MALE,CNP,73,,AKWA-IBOM-NORTH-EAST,AKWA
5,EBIJE MICHEL O,MALE,DA,81,,AKWA-IBOM-NORTH-EAST,AKWA
6,UDUAK ENEFIOR ESSIEN,FEMALE,DPP,187,,AKWA-IBOM-NORTH-EAST,AKWA
7,EFFIOM OKON ACHIBONG,MALE,FJP,76,,AKWA-IBOM-NORTH-EAST,AKWA
8,UDOH DAVID BASSEY,MALE,JMPP,54,,AKWA-IBOM-NORTH-EAST,AKWA
9,UMOHUMOH IMOH EMEM,FEMALE,KP,46,,AKWA-IBOM-NORTH-EAST,AKWA
10,EKPO IMOH GEORGE,MALE,MPN,175,,AKWA-IBOM-NORTH-EAST,AKWA
11,AKPAN BASSEY ALBERT,MALE,PDP,"147,731",ELECTED,AKWA-IBOM-NORTH-EAST,AKWA
12,DR. DANIEL GREGORY U,MALE,PPN,165,,AKWA-IBOM-NORTH-EAST,AKWA
13,THOMAS MFON FLAMINGO,FEMALE,ZLP,30,,AKWA-IBOM-NORTH-EAST,AKWA
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,AKWA-IBOM-SOUTH,AKWA
1,UTIBE UDO THOMPSON,MALE,ACD,123,,AKWA-IBOM-SOUTH,AKWA
2,EFFIONG NELSON ASUQUO,MALE,APC,"44,053",,AKWA-IBOM-SOUTH,AKWA
3,ETETE CHARITY INYANG,FEMALE,DPP,230,,AKWA-IBOM-SOUTH,AKWA
4,OKON LIVINGSTONE A.E,MALE,FJP,68,,AKWA-IBOM-SOUTH,AKWA
5,BENETT MBRE AKPADIAHA,MALE,JMPP,148,,AKWA-IBOM-SOUTH,AKWA
6,EYAKENYI AKON ETIM,FEMALE,PDP,"122,412",ELECTED,AKWA-IBOM-SOUTH,AKWA
7,EBONG NSIMA J.,MALE,PPN,88,,AKWA-IBOM-SOUTH,AKWA
8,OKPO ITA ODUMAYAK,MALE,UPC,37,,AKWA-IBOM-SOUTH,AKWA
9,IMABONG ODOHOFREH,MALE,YPP,48,,AKWA-IBOM-SOUTH,AKWA
10,AKPAN EMMANUEL OKON,MALE,ZLP,21,,AKWA-IBOM-SOUTH,AKWA
1,OKAFOR KATE OBY,F,ACD,51,,ANAMBRA-CENTRAL,ANAMBRA
2,CHUKWUDI EZEKWELU TONY-UCHE,M,ADC,286,,ANAMBRA-CENTRAL,ANAMBRA
3,NWEZI FELIX AMECHI,M,AGAP,358,,ANAMBRA-CENTRAL,ANAMBRA
4,SYLVESTER ONUORAH OKONKWO,M,APC,"10,999",,ANAMBRA-CENTRAL,ANAMBRA
5,UMEH VICTOR,M,APGA,"81,429",,ANAMBRA-CENTRAL,ANAMBRA
6,CHUKWUDI OBI OFOMAH,M,APP,111,,ANAMBRA-CENTRAL,ANAMBRA
7,ANEZE CHUKWUNWUBA,M,BNPP,41,,ANAMBRA-CENTRAL,ANAMBRA
8,OKAFOR CELESTINE CHIBUZO,M,DA,122,,ANAMBRA-CENTRAL,ANAMBRA
9,ILONGWO HYACINTH,M,DPP,162,,ANAMBRA-CENTRAL,ANAMBRA
10,EJIE JOSIAH JIDEJISOS,M,FJP,9,,ANAMBRA-CENTRAL,ANAMBRA
11,AKUDO CHIDIUMEH CHIKWENDU,M,GPN,22,,ANAMBRA-CENTRAL,ANAMBRA
12,OKAFOR IKECHUKWU,M,ID,20,,ANAMBRA-CENTRAL,ANAMBRA
13,EKENTA MALACHI,M,JMPP,33,,ANAMBRA-CENTRAL,ANAMBRA
14,EZEKILI OGOCHUKWU,F,KP,19,,ANAMBRA-CENTRAL,ANAMBRA
15,OKOYE EDWIN AMOBI,M,LP,125,,ANAMBRA-CENTRAL,ANAMBRA
16,OKAFOR ONYEKA CHRISTIAN,M,MMN,33,,ANAMBRA-CENTRAL,ANAMBRA
17,UDEJI ANIDIKE SAMUEL,M,MPN,145,,ANAMBRA-CENTRAL,ANAMBRA
18,OKAFOR OBUMNEKE EJIMNKEONYE,M,NCP,258,,ANAMBRA-CENTRAL,ANAMBRA
19,OKERE CHIBUEZE JOHN,M,NNPP,720,,ANAMBRA-CENTRAL,ANAMBRA
20,CHUKWUEMEKA EMEKA,M,NRM,82,,ANAMBRA-CENTRAL,ANAMBRA
21,ONUIGBO PETER OSITADINMA,M,PDC,307,,ANAMBRA-CENTRAL,ANAMBRA
22,UCHE LILIAN EKWUNIFE,F,PDP,"118,484",ELECTED,ANAMBRA-CENTRAL,ANAMBRA
23,EKWEZOH CHRISTOPHER NKEMAKONAM,M,PPA,114,,ANAMBRA-CENTRAL,ANAMBRA
24,EJOJIOLU ANOZIE C,M,PPC,80,,ANAMBRA-CENTRAL,ANAMBRA
25,NNAJI NDUBUISI VINCENT,M,PPP,22,,ANAMBRA-CENTRAL,ANAMBRA
1,MENKITI FRANCISCA Q,F,ACD,73,,ANAMBRA-NORTH,ANAMBRA
2,MODEBE EDITH OBIAJULU,F,ADC,87,,ANAMBRA-NORTH,ANAMBRA
3,OKORO UDENSI,M,AGAP,219,,ANAMBRA-NORTH,ANAMBRA
4,AGHADINUNO BASIL CHUKWUMA,M,ANDP,40,,ANAMBRA-NORTH,ANAMBRA
5,CHUBA-OKADIGBO MARGERY C.,F,APC,"11,995",,ANAMBRA-NORTH,ANAMBRA
6,CHINEDU EMMANUEL EMEKA,M,APGA,"59,937",,ANAMBRA-NORTH,ANAMBRA
7,DIBUA LAWRENCE OGUGUA,M,APP,357,,ANAMBRA-NORTH,ANAMBRA
8,NNELIRK-MMALIVE FIDELISUMA UCHECHUKWU UDORJI,M,ASD,119,,ANAMBRA-NORTH,ANAMBRA
9,OKOYE GEORGE MADUABUROCHUKWU,M,DA,10,,ANAMBRA-NORTH,ANAMBRA
10,MMOTUNE THERESA,F,DPP,115,,ANAMBRA-NORTH,ANAMBRA
11,FRANKLIN IKENNA,M,ID,50,,ANAMBRA-NORTH,ANAMBRA
12,OKONKWO SONIA CHINWE,F,KP,22,,ANAMBRA-NORTH,ANAMBRA
13,UGBAMA OPIA ANTHONY KINSLEY,M,MPN,25,,ANAMBRA-NORTH,ANAMBRA
14,UMEAROKWU OGECHUKWU U.,F,NCP,37,,ANAMBRA-NORTH,ANAMBRA
15,ODUENYI CHRISTIAN TOCHUKWU,M,NFD,32,,ANAMBRA-NORTH,ANAMBRA
16,EZECHUKWUMA RICHARD CHIBUIKEM,M,PDC,"1,018",,ANAMBRA-NORTH,ANAMBRA
17,ODUAH STELLA ADAEZE PRINCESS,F,PDP,"113,989",ELECTED,ANAMBRA-NORTH,ANAMBRA
18,NDUKAIFE EBELE J,F,PPC,30,,ANAMBRA-NORTH,ANAMBRA
19,USHIE STEPHEN NDUKA,M,PPP,48,,ANAMBRA-NORTH,ANAMBRA
20,EDOZIE BLESSING CHINWE,F,RP,41,,ANAMBRA-NORTH,ANAMBRA
21,EKWEALOR CHINEDU THOMAS,M,YPP,"1,024",,ANAMBRA-NORTH,ANAMBRA
1,NZE FERGUSON UMEH PIUS CHUKWUKA,M,ACD,86,,ANAMBRA-SOUTH,ANAMBRA
2,OKONKWO NNABUEZE PAUL,M,ADC,131,,ANAMBRA-SOUTH,ANAMBRA
3,DR. DAN CHIBOR UMEH,M,AGAP,182,,ANAMBRA-SOUTH,ANAMBRA
4,UBA ANDY NNAMDI EMMANUEL,M,APC,"13,245",,ANAMBRA-SOUTH,ANAMBRA
5,EMEAKAYI KENNETH OKWUCHUKWU,M,APDA,476,,ANAMBRA-SOUTH,ANAMBRA
6,UKACHUKWU NICHOLAS CHUKUJEKWU,M,APGA,"51,269",,ANAMBRA-SOUTH,ANAMBRA
7,OBIJIOFOR JOHN CHIMA,M,APP,73,,ANAMBRA-SOUTH,ANAMBRA
8,NELSON IHENATOUHA,M,BNPP,70,,ANAMBRA-SOUTH,ANAMBRA
9,ONWUKWE EMENIKE EVANS,M,DA,73,,ANAMBRA-SOUTH,ANAMBRA
10,NWENYI BOBBY CHRISTOPHER,M,DPP,175,,ANAMBRA-SOUTH,ANAMBRA
11,OTTI CHRISTIAN IKECHUKWU,M,ID,28,,ANAMBRA-SOUTH,ANAMBRA
12,EZEOBI INNOCENT CHUKWUDI,M,JMPP,93,,ANAMBRA-SOUTH,ANAMBRA
13,OGWUELEKA EMMANUEL CHIKWUEKE,M,KP,46,,ANAMBRA-SOUTH,ANAMBRA
14,ANUMBA OGONNA CHIAZOR,M,LP,212,,ANAMBRA-SOUTH,ANAMBRA
15,SAMUEL CLIFFORD MADU,M,MPN,65,,ANAMBRA-SOUTH,ANAMBRA
16,OKALA PETER,M,NCP,81,,ANAMBRA-SOUTH,ANAMBRA
17,UNIGWE MICHAEL N.,M,NDLP,237,,ANAMBRA-SOUTH,ANAMBRA
18,OSUNKWO EMEKA MARK GEORGE,M,PDC,155,,ANAMBRA-SOUTH,ANAMBRA
19,UBAH CHRISTIAN CHUKWUNEDUM,M,PDP,"52,462",,ANAMBRA-SOUTH,ANAMBRA
20,UDEH MARTINS,M,PPP,126,,ANAMBRA-SOUTH,ANAMBRA
21,PRINCE OKOLI E. PETER,M,PRP,36,,ANAMBRA-SOUTH,ANAMBRA
22,OBIH NKEIRUKA FAITH,F,RP,32,,ANAMBRA-SOUTH,ANAMBRA
23,EZEOBIKA CHUKWUDI ECHEZONA,M,UP,50,,ANAMBRA-SOUTH,ANAMBRA
24,IGWILO SYLVESTER CHUKWUELOKA,M,UPP,930,,ANAMBRA-SOUTH,ANAMBRA
25,PATRICK IFEANYI UBAH,M,YPP,"87,081",ELECTED,ANAMBRA-SOUTH,ANAMBRA
1,ALIYU UMAR KAFI,M,ACD,317,,BAUCHI-CENTRAL,BAUCHI
2,BABAGIDA USMAN SHEHU,M,ADC,467,,BAUCHI-CENTRAL,BAUCHI
3,JIKA DAUDA HALLIRU,M,APC,"120,871",ELECTED,BAUCHI-CENTRAL,BAUCHI
4,HUSSAIN SAMAILA,M,APM,303,,BAUCHI-CENTRAL,BAUCHI
5,KASUWA ISA,M,APP,235,,BAUCHI-CENTRAL,BAUCHI
6,MUSTAPHA ABDULLAHI,M,DA,153,,BAUCHI-CENTRAL,BAUCHI
7,MUSTAPHA MOHAMMAD,M,DPC,131,,BAUCHI-CENTRAL,BAUCHI
8,MOHAMMED SANI BURRA,M,GPN,953,,BAUCHI-CENTRAL,BAUCHI
9,GARBA YUNUSA,M,JMPP,119,,BAUCHI-CENTRAL,BAUCHI
10,ISA IBRAHIM,M,MAJA,74,,BAUCHI-CENTRAL,BAUCHI
11,AHMED ADAMU ABDULKADIR,M,MMN,184,,BAUCHI-CENTRAL,BAUCHI
12,ABUBAKAR ISAH,M,NNPP,"9,414",,BAUCHI-CENTRAL,BAUCHI
13,HAMMA MISAU ISAH,M,PDP,"57,069",,BAUCHI-CENTRAL,BAUCHI
14,BAPPA ALIYU MISAU,M,PRP,"66,024",,BAUCHI-CENTRAL,BAUCHI
15,SULEIMAN ABUBAKAR,M,SDP,"2,582",,BAUCHI-CENTRAL,BAUCHI
1,AUFA HASSAN ADAMU,M,ACD,270,,BAUCHI-NORTH,BAUCHI
2,MUSA NADABO ISAH,M,ADC,542,,BAUCHI-NORTH,BAUCHI
3,BULKACHUWA ADAMU MUHAMMED,M,APC,"110,631",ELECTED,BAUCHI-NORTH,BAUCHI
4,MOH'D ABUBAKAR,M,APP,262,,BAUCHI-NORTH,BAUCHI
5,FAIZA ABDULLAHI,F,DA,190,,BAUCHI-NORTH,BAUCHI
6,ABDULMALIK MAHMOUD,M,GPN,"1,823",,BAUCHI-NORTH,BAUCHI
7,SAMAILA UMAR,M,JMPP,441,,BAUCHI-NORTH,BAUCHI
8,MUSTAPHA FAROUK,M,NNPP,"92,140",,BAUCHI-NORTH,BAUCHI
9,NAZIF SULEIMAN MUHAMMED,M,PDP,"56,379",,BAUCHI-NORTH,BAUCHI
10,GARBA A.GAMAWA,M,PRP,"12,345",,BAUCHI-NORTH,BAUCHI
11,MOHAMMED M.IDRIS,M,SDP,"3,920",,BAUCHI-NORTH,BAUCHI
1,MUHAMMED LAWAL,MALE,ACD,243,,BAUCHI-SOUTH,BAUCHI
2,BABAYO UMAR MISAU,MALE,ADC,760,,BAUCHI-SOUTH,BAUCHI
3,YAHAYA LAWAL GUMAU,MALE,APC,"250,725",ELECTED,BAUCHI-SOUTH,BAUCHI
4,ADAMU MUSA UMAR,MALE,APM,387,,BAUCHI-SOUTH,BAUCHI
5,ADAMU YAKUBU JIBRIN,MALE,APP,193,,BAUCHI-SOUTH,BAUCHI
6,ADAMU ANWAL MUSA,MALE,BNPP,97,,BAUCHI-SOUTH,BAUCHI
7,NURU GARBA,MALE,DA,168,,BAUCHI-SOUTH,BAUCHI
8,AHMAD LADO IBRAHIM,MALE,DPC,135,,BAUCHI-SOUTH,BAUCHI
9,IBRAHIM SANI,MALE,GPN,793,,BAUCHI-SOUTH,BAUCHI
10,DAGUMA MUHAMMAD A.A,MALE,JMPP,166,,BAUCHI-SOUTH,BAUCHI
11,IBRAHIM BALA MAIDAWA,MALE,MAJA,107,,BAUCHI-SOUTH,BAUCHI
12,IBRAHIM AYUBA,MALE,MMN,101,,BAUCHI-SOUTH,BAUCHI
13,AMINU ABDULLAHI,MALE,MPN,480,,BAUCHI-SOUTH,BAUCHI
14,TAFAWA BALEWA ABUBAKAR,MALE,NNPP,"8,091",,BAUCHI-SOUTH,BAUCHI
15,SANTURAKI KABIR,MALE,PDC,935,,BAUCHI-SOUTH,BAUCHI
16,DAHIRU GARBA,MALE,PDP,"175,527",,BAUCHI-SOUTH,BAUCHI
17,LAWAL HUSSAINI IBRAHIM,MALE,PRP,"43,386",,BAUCHI-SOUTH,BAUCHI
18,UMAR DALHA,MALE,SDP,664,,BAUCHI-SOUTH,BAUCHI
1,BEFORD AKAHKOLI,MALE,ADC,221,,BAYELSA-CENTRAL,BAYELSA
2,FESTUS DAUMIEBI SUNDAY,MALE,APC,"70,998",,BAYELSA-CENTRAL,BAYELSA
3,MAXWELL INEBIMO,MALE,APM,38,,BAYELSA-CENTRAL,BAYELSA
4,EZRA YOHANA JAMAICA,FEMALE,DA,26,,BAYELSA-CENTRAL,BAYELSA
5,SIKPI EBIMOBOWEI,MALE,GDPN,39,,BAYELSA-CENTRAL,BAYELSA
6,APPAH AMANAWA GODWILL,MALE,LP,58,,BAYELSA-CENTRAL,BAYELSA
7,EBIERE EKEUWEI J.,FEMALE,MPN,7,,BAYELSA-CENTRAL,BAYELSA
8,KIEN GOVERNOR D.,MALE,NAC,17,,BAYELSA-CENTRAL,BAYELSA
9,KETEBU BOLERE ELIZABETH,FEMALE,NRM,51,,BAYELSA-CENTRAL,BAYELSA
10,DOUYEMIEGHA-SUOWARI EBINDU RUTH,FEMALE,NUP,200,,BAYELSA-CENTRAL,BAYELSA
11,DIRI DOUYE,MALE,PDP,"83,978",ELECTED,BAYELSA-CENTRAL,BAYELSA
12,ABRAHAM DIDIEKERE,MALE,PPA,24,,BAYELSA-CENTRAL,BAYELSA
13,DAUZUO FAWEI,MALE,SDP,119,,BAYELSA-CENTRAL,BAYELSA
14,AYAH DICKSON JOHN,MALE,YDP,98,,BAYELSA-CENTRAL,BAYELSA
1,CHARLES SILVA OPUALA,MALE,A,"1,159",,BAYELSA-EAST,BAYELSA
2,NIMI BARIGHA AMANGE,MALE,ADC,"16,936",,BAYELSA-EAST,BAYELSA
3,DEGI EREMIENYO BIOBARAKU WANGAGRA,MALE,APC,"43,303 ELECTED",,BAYELSA-EAST,BAYELSA
4,INIEKAILANYO MICAH NGOZI,MALE,CAP,40,,BAYELSA-EAST,BAYELSA
5,AWAKI STANLY EBINABIANO,MALE,DA,75,,BAYELSA-EAST,BAYELSA
6,OMOH DIKEALA,MALE,GDPN,13,,BAYELSA-EAST,BAYELSA
7,AKPODI BK. AGAGOWEI,MALE,KP,11,,BAYELSA-EAST,BAYELSA
8,WILLS INIRUO,MALE,LP,570,,BAYELSA-EAST,BAYELSA
9,OJOKO ANTHONY,MALE,MMN,74,,BAYELSA-EAST,BAYELSA
10,CLEMENT - JOE ALAGOATARIMFAGHA,MALE,NRM,72,,BAYELSA-EAST,BAYELSA
11,IPIGANSI IZAGARA BLESSING,MALE,PDP,"32,363",,BAYELSA-EAST,BAYELSA
12,ENU OTONYE,MALE,PPN,12,,BAYELSA-EAST,BAYELSA
13,APPOLUS NENGIMINI,MALE,SDP,100,,BAYELSA-EAST,BAYELSA
14,JOHNNY JOHNNY,MALE,UPN,6,,BAYELSA-EAST,BAYELSA
1,OWOUPELE ENEORIEKUMOH O.,MALE,A,6,,BAYELSA-WEST,BAYELSA
2,PERETIEMO EBI MICHEAL,MALE,AA,19,,BAYELSA-WEST,BAYELSA
3,OMEMU ENEINKANDE H.,MALE,ADC,32,,BAYELSA-WEST,BAYELSA
4,KARIMO MATHEW ADO,MALE,APC,"20,219",,BAYELSA-WEST,BAYELSA
5,EMOMOTIMI EMMANUEL,MALE,APM,29,,BAYELSA-WEST,BAYELSA
6,OWEIFABO FELIX EBIKEMEFA,MALE,CAP,12,,BAYELSA-WEST,BAYELSA
7,AZUAN DOGOOD FELIX,MALE,DA,10,,BAYELSA-WEST,BAYELSA
8,DOROU TISSA OKORO,MALE,GDPN,4,,BAYELSA-WEST,BAYELSA
9,WEIKEZI GABRIEL OWEI,MALE,JMPP,6,,BAYELSA-WEST,BAYELSA
10,OGBORIYO AUGUSTINE,MALE,LP,21,,BAYELSA-WEST,BAYELSA
11,AMGBARE KENNY KENEWENEMOR,MALE,NRM,42,,BAYELSA-WEST,BAYELSA
12,EWHRUDJAKPO LAWRENCE O.,MALE,PDP,"49,912",ELECTED,BAYELSA-WEST,BAYELSA
13,PERETU ALEXANDER BEKEAREREBO,MALE,PPA,19,,BAYELSA-WEST,BAYELSA
14,PRINCE ONIEKPE AWOFU,MALE,SDP,19,,BAYELSA-WEST,BAYELSA
15,VICTOR MAGBODO BEN,MALE,SNP,15,,BAYELSA-WEST,BAYELSA
