,stage,club,country,year
0,Final,Athletic Club,ESP,2012
1,Final,Atlético,ESP,2012
2,Semi-finals,Sporting CP,POR,2012
3,Semi-finals,Valencia,ESP,2012
4,Quarter-finals,AZ Alkmaar,NED,2012
5,Quarter-finals,Hannover,GER,2012
6,Quarter-finals,Metalist,UKR,2012
7,Quarter-finals,Schalke,GER,2012
8,Round of 16,Beşiktaş,TUR,2012
9,Round of 16,Man City,ENG,2012
10,Round of 16,Man United,ENG,2012
11,Round of 16,Olympiacos,GRE,2012
12,Round of 16,PSV,NED,2012
13,Round of 16,Standard Liège,BEL,2012
14,Round of 16,Twente,NED,2012
15,Round of 16,Udinese,ITA,2012
16,Round of 32,Ajax,NED,2012
17,Round of 32,Anderlecht,BEL,2012
18,Round of 32,Braga,POR,2012
19,Round of 32,Club Brugge,BEL,2012
20,Round of 32,FCSB,ROU,2012
21,Round of 32,Lazio,ITA,2012
22,Round of 32,Legia,POL,2012
23,Round of 32,Lokomotiv Moskva,RUS,2012
24,Round of 32,PAOK,GRE,2012
25,Round of 32,Plzeň,CZE,2012
26,Round of 32,Porto,POR,2012
27,Round of 32,Rubin,RUS,2012
28,Round of 32,Salzburg,AUT,2012
29,Round of 32,Stoke,ENG,2012
30,Round of 32,Trabzonspor,TUR,2012
31,Round of 32,Wisła Kraków,POL,2012
32,Group stage,AEK,GRE,2012
33,Group stage,AEK Larnaca,CYP,2012
34,Group stage,Austria Wien,AUT,2012
35,Group stage,Birmingham,ENG,2012
36,Group stage,Celtic,SCO,2012
37,Group stage,Copenhagen,DEN,2012
38,Group stage,Dynamo Kyiv,UKR,2012
39,Group stage,Fulham,ENG,2012
40,Group stage,H. Tel-Aviv,ISR,2012
41,Group stage,M. Haifa,ISR,2012
42,Group stage,M. Tel-Aviv,ISR,2012
43,Group stage,Malmö,SWE,2012
44,Group stage,Maribor,SVN,2012
45,Group stage,OB,DEN,2012
46,Group stage,Paris,FRA,2012
47,Group stage,Rapid Bucureşti,ROU,2012
48,Group stage,Rennes,FRA,2012
49,Group stage,Shamrock Rovers,IRL,2012
50,Group stage,Slovan Bratislava,SVK,2012
51,Group stage,Sturm,AUT,2012
52,Group stage,Tottenham,ENG,2012
53,Group stage,Vaslui,ROU,2012
54,Group stage,Vorskla,UKR,2012
55,Group stage,Zürich,SUI,2012
56,Play-offs,Aalesund,NOR,2012
57,Play-offs,Alania,RUS,2012
58,Play-offs,Bursaspor,TUR,2012
59,Play-offs,Crvena zvezda,SRB,2012
60,Play-offs,CSKA Sofia,BUL,2012
61,Play-offs,Differdange,LUX,2012
62,Play-offs,Dinamo Bucureşti,ROU,2012
63,Play-offs,Dinamo Tbilisi,GEO,2012
64,Play-offs,Dnipro,UKR,2012
65,Play-offs,Ekranas,LTU,2012
66,Play-offs,Gaz Metan,ROU,2012
67,Play-offs,Hearts,SCO,2012
68,Play-offs,Helsingborg,SWE,2012
69,Play-offs,HJK,FIN,2012
70,Play-offs,Karpaty,UKR,2012
71,Play-offs,Litex,BUL,2012
72,Play-offs,Nacional,POR,2012
73,Play-offs,Nordsjælland,DEN,2012
74,Play-offs,Omonoia,CYP,2012
75,Play-offs,Panathinaikos,GRE,2012
76,Play-offs,Partizan,SRB,2012
77,Play-offs,Rabotnicki,MKD,2012
78,Play-offs,Rangers,SCO,2012
79,Play-offs,Ried,AUT,2012
80,Play-offs,Roma,ITA,2012
81,Play-offs,Rosenborg,NOR,2012
82,Play-offs,Sevilla,ESP,2012
83,Play-offs,Sion,SUI,2012
84,Play-offs,Śląsk,POL,2012
85,Play-offs,Sochaux,FRA,2012
86,Play-offs,Sparta Praha,CZE,2012
87,Play-offs,Spartak Moskva,RUS,2012
88,Play-offs,Spartak Trnava,SVK,2012
89,Play-offs,Thun,SUI,2012
90,Play-offs,Vitória SC,POR,2012
91,Play-offs,Young Boys,SUI,2012
92,Play-offs,Zestafoni,GEO,2012
93,Third qualifying round,Aktobe,KAZ,2012
94,Third qualifying round,Anorthosis,CYP,2012
95,Third qualifying round,Bnei Yehuda,ISR,2012
96,Third qualifying round,Brøndby,DEN,2012
97,Third qualifying round,Den Haag,NED,2012
98,Third qualifying round,Elfsborg,SWE,2012
99,Third qualifying round,Gaziantepspor,TUR,2012
100,Third qualifying round,Gomel,BLR,2012
101,Third qualifying round,Häcken,SWE,2012
102,Third qualifying round,Hajduk Split,CRO,2012
103,Third qualifying round,Jablonec,CZE,2012
104,Third qualifying round,KR Reykjavik,ISL,2012
105,Third qualifying round,Levski,BUL,2012
106,Third qualifying round,Lokomotiv Sofia,BUL,2012
107,Third qualifying round,Mainz,GER,2012
108,Third qualifying round,Metalurgi Rustavi,GEO,2012
109,Third qualifying round,Midtjylland,DEN,2012
110,Third qualifying round,Mladá Boleslav,CZE,2012
111,Third qualifying round,Olimpija Ljubljana,SVN,2012
112,Third qualifying round,Olympiacos Volou,GRE,2012
113,Third qualifying round,Paks,HUN,2012
114,Third qualifying round,Palermo,ITA,2012
115,Third qualifying round,Qarabağ,AZE,2012
116,Third qualifying round,Sarajevo,BIH,2012
117,Third qualifying round,Senica,SVK,2012
118,Third qualifying round,Sligo,IRL,2012
119,Third qualifying round,Split,CRO,2012
120,Third qualifying round,St Patrick's,IRL,2012
121,Third qualifying round,Strømsgodset,NOR,2012
122,Third qualifying round,Vaduz,LIE,2012
123,Third qualifying round,Vålerenga,NOR,2012
124,Third qualifying round,Varaždin,CRO,2012
125,Third qualifying round,Ventspils,LVA,2012
126,Third qualifying round,Westerlo,BEL,2012
127,Third qualifying round,Željezničar,BIH,2012
128,Second qualifying round,Bohemians,IRL,2012
129,Second qualifying round,Crusaders,NIR,2012
130,Second qualifying round,Domžale,SVN,2012
131,Second qualifying round,Dundee United,SCO,2012
132,Second qualifying round,EB/Streymur,FRO,2012
133,Second qualifying round,Ferencváros,HUN,2012
134,Second qualifying round,FH,ISL,2012
135,Second qualifying round,Flamurtari,ALB,2012
136,Second qualifying round,Floriana,MLT,2012
137,Second qualifying round,Gagra,GEO,2012
138,Second qualifying round,Glentoran,NIR,2012
139,Second qualifying round,Honka,FIN,2012
140,Second qualifying round,Irtysh,KAZ,2012
141,Second qualifying round,Iskra-Stal,MDA,2012
142,Second qualifying round,Juvenes/Dogana,SMR,2012
143,Second qualifying round,Kecskemét,HUN,2012
144,Second qualifying round,KuPS,FIN,2012
145,Second qualifying round,Levadia,EST,2012
146,Second qualifying round,Liepājas Metalurgs,LVA,2012
147,Second qualifying round,Llanelli,WAL,2012
148,Second qualifying round,Metalurg Skopje,MKD,2012
149,Second qualifying round,Mika,ARM,2012
150,Second qualifying round,Minsk,BLR,2012
151,Second qualifying round,Örebro,SWE,2012
152,Second qualifying round,Rad,SRB,2012
153,Second qualifying round,Rudar Pljevlja,MNE,2012
154,Second qualifying round,Sant Julià,AND,2012
155,Second qualifying round,Shakhter,KAZ,2012
156,Second qualifying round,Shakhtyor,BLR,2012
157,Second qualifying round,Sheriff,MDA,2012
158,Second qualifying round,Sūduva,LTU,2012
159,Second qualifying round,Tauras,LTU,2012
160,Second qualifying round,Tirana,ALB,2012
161,Second qualifying round,TNS,WAL,2012
162,Second qualifying round,TPS,FIN,2012
163,Second qualifying round,Tromsø,NOR,2012
164,Second qualifying round,Vllaznia,ALB,2012
165,Second qualifying round,Vojvodina,SRB,2012
166,Second qualifying round,Xäzär Länkäran,AZE,2012
167,Second qualifying round,Žilina,SVK,2012
168,First qualifying round,Banga,LTU,2012
169,First qualifying round,Birkirkara,MLT,2012
170,First qualifying round,Budućnost Podgorica,MNE,2012
171,First qualifying round,Cliftonville,NIR,2012
172,First qualifying round,Daugava Daugavpils,LVA,2012
173,First qualifying round,Fola,LUX,2012
174,First qualifying round,ÍBV,ISL,2012
175,First qualifying round,ÍF,FRO,2012
176,First qualifying round,Jagiellonia,POL,2012
177,First qualifying round,Käerjéng,LUX,2012
178,First qualifying round,Kalju,EST,2012
179,First qualifying round,Koper,SVN,2012
180,First qualifying round,Lusitans,AND,2012
181,First qualifying round,Milsami,MDA,2012
182,First qualifying round,Neath,WAL,2012
183,First qualifying round,NSÍ,FRO,2012
184,First qualifying round,Olimpik-Şüvälan,AZE,2012
185,First qualifying round,Renova,MKD,2012
186,First qualifying round,Široki Brijeg,BIH,2012
187,First qualifying round,Trans,EST,2012
188,First qualifying round,Tre Penne,SMR,2012
189,First qualifying round,UE Santa Coloma,AND,2012
190,First qualifying round,Ulisses,ARM,2012
191,First qualifying round,Urartu,ARM,2012
192,First qualifying round,Zeta,MNE,2012
0,Final,Benfica,POR,2013
1,Final,Chelsea,ENG,2013
2,Semi-finals,Basel,SUI,2013
3,Semi-finals,Fenerbahçe,TUR,2013
4,Quarter-finals,Lazio,ITA,2013
5,Quarter-finals,Newcastle,ENG,2013
6,Quarter-finals,Rubin,RUS,2013
7,Quarter-finals,Tottenham,ENG,2013
8,Round of 16,Anji,RUS,2013
9,Round of 16,Bordeaux,FRA,2013
10,Round of 16,FCSB,ROU,2013
11,Round of 16,Inter,ITA,2013
12,Round of 16,Levante,ESP,2013
13,Round of 16,Plzeň,CZE,2013
14,Round of 16,Stuttgart,GER,2013
15,Round of 16,Zenit,RUS,2013
16,Round of 32,Ajax,NED,2013
17,Round of 32,Atlético,ESP,2013
18,Round of 32,BATE,BLR,2013
19,Round of 32,CFR Cluj,ROU,2013
20,Round of 32,Dnipro,UKR,2013
21,Round of 32,Dynamo Kyiv,UKR,2013
22,Round of 32,Genk,BEL,2013
23,Round of 32,Hannover,GER,2013
24,Round of 32,Leverkusen,GER,2013
25,Round of 32,Liverpool,ENG,2013
26,Round of 32,Lyon,FRA,2013
27,Round of 32,Metalist,UKR,2013
28,Round of 32,Mönchengladbach,GER,2013
29,Round of 32,Napoli,ITA,2013
30,Round of 32,Olympiacos,GRE,2013
31,Round of 32,Sparta Praha,CZE,2013
32,Group stage,Académica,POR,2013
33,Group stage,AEL,CYP,2013
34,Group stage,AIK,SWE,2013
35,Group stage,Athletic Club,ESP,2013
36,Group stage,Club Brugge,BEL,2013
37,Group stage,Copenhagen,DEN,2013
38,Group stage,Fehérvár,HUN,2013
39,Group stage,H. Kiryat Shmona,ISR,2013
40,Group stage,H. Tel-Aviv,ISR,2013
41,Group stage,Helsingborg,SWE,2013
42,Group stage,Maribor,SVN,2013
43,Group stage,Marítimo,POR,2013
44,Group stage,Marseille,FRA,2013
45,Group stage,Molde,NOR,2013
46,Group stage,Neftçi,AZE,2013
47,Group stage,Panathinaikos,GRE,2013
48,Group stage,Partizan,SRB,2013
49,Group stage,PSV,NED,2013
50,Group stage,Rapid Wien,AUT,2013
51,Group stage,Rosenborg,NOR,2013
52,Group stage,Sporting CP,POR,2013
53,Group stage,Twente,NED,2013
54,Group stage,Udinese,ITA,2013
55,Group stage,Young Boys,SUI,2013
56,Play-offs,APOEL,CYP,2013
57,Play-offs,Atromitos,GRE,2013
58,Play-offs,AZ Alkmaar,NED,2013
59,Play-offs,Bursaspor,TUR,2013
60,Play-offs,Crvena zvezda,SRB,2013
61,Play-offs,CSKA Moskva,RUS,2013
62,Play-offs,Debrecen,HUN,2013
63,Play-offs,Diddeleng,LUX,2013
64,Play-offs,Dila,GEO,2013
65,Play-offs,Dinamo Bucureşti,ROU,2013
66,Play-offs,Dynamo Moscow,RUS,2013
67,Play-offs,Ekranas,LTU,2013
68,Play-offs,Feyenoord,NED,2013
69,Play-offs,Hearts,SCO,2013
70,Play-offs,Heerenveen,NED,2013
71,Play-offs,HJK,FIN,2013
72,Play-offs,Horsens,DEN,2013
73,Play-offs,Legia,POL,2013
74,Play-offs,Liberec,CZE,2013
75,Play-offs,Lokeren,BEL,2013
76,Play-offs,Luzern,SUI,2013
77,Play-offs,Midtjylland,DEN,2013
78,Play-offs,Motherwell,SCO,2013
79,Play-offs,ND Mura 05,SVN,2013
80,Play-offs,PAOK,GRE,2013
81,Play-offs,Sheriff,MDA,2013
82,Play-offs,Śląsk,POL,2013
83,Play-offs,Trabzonspor,TUR,2013
84,Play-offs,Tromsø,NOR,2013
85,Play-offs,Vaslui,ROU,2013
86,Play-offs,Zeta,MNE,2013
87,Third qualifying round,Aalesund,NOR,2013
88,Third qualifying round,Admira,AUT,2013
89,Third qualifying round,Aktobe,KAZ,2013
90,Third qualifying round,Anorthosis,CYP,2013
91,Third qualifying round,Arsenal Kyiv,UKR,2013
92,Third qualifying round,Asteras,GRE,2013
93,Third qualifying round,Bnei Yehuda,ISR,2013
94,Third qualifying round,Dundee United,SCO,2013
95,Third qualifying round,Elfsborg,SWE,2013
96,Third qualifying round,Eskişehirspor,TUR,2013
97,Third qualifying round,Gent,BEL,2013
98,Third qualifying round,Gomel,BLR,2013
99,Third qualifying round,Hajduk Split,CRO,2013
100,Third qualifying round,Kalmar,SWE,2013
101,Third qualifying round,KuPS,FIN,2013
102,Third qualifying round,Lech,POL,2013
103,Third qualifying round,Metalurh Donetsk,UKR,2013
104,Third qualifying round,Mladá Boleslav,CZE,2013
105,Third qualifying round,Omonoia,CYP,2013
106,Third qualifying round,Rapid Bucureşti,ROU,2013
107,Third qualifying round,Ried,AUT,2013
108,Third qualifying round,Ruch,POL,2013
109,Third qualifying round,Sarajevo,BIH,2013
110,Third qualifying round,Servette,SUI,2013
111,Third qualifying round,Slaven Koprivnica,CRO,2013
112,Third qualifying round,Spartak Trnava,SVK,2013
113,Third qualifying round,St Patrick's,IRL,2013
114,Third qualifying round,Vitesse,NED,2013
115,Third qualifying round,Vojvodina,SRB,2013
116,Second qualifying round,AGF,DEN,2013
117,Second qualifying round,Čelik Nikšić,MNE,2013
118,Second qualifying round,CSKA Sofia,BUL,2013
119,Second qualifying round,Dacia,MDA,2013
120,Second qualifying round,Differdange,LUX,2013
121,Second qualifying round,FH,ISL,2013
122,Second qualifying round,Gandzasar,ARM,2013
123,Second qualifying round,Honvéd,HUN,2013
124,Second qualifying round,Inter Turku,FIN,2013
125,Second qualifying round,JJK,FIN,2013
126,Second qualifying round,Keşla,AZE,2013
127,Second qualifying round,Levadia,EST,2013
128,Second qualifying round,Levski,BUL,2013
129,Second qualifying round,Liepājas Metalurgs,LVA,2013
130,Second qualifying round,Lokomotiv Plovdiv,BUL,2013
131,Second qualifying round,M. Netanya,ISR,2013
132,Second qualifying round,Metalurg Skopje,MKD,2013
133,Second qualifying round,Metalurgi Rustavi,GEO,2013
134,Second qualifying round,Milsami,MDA,2013
135,Second qualifying round,MYPA,FIN,2013
136,Second qualifying round,Naftan,BLR,2013
137,Second qualifying round,Olimpija Ljubljana,SVN,2013
138,Second qualifying round,Ordabasy,KAZ,2013
139,Second qualifying round,Osijek,CRO,2013
140,Second qualifying round,Portadown,NIR,2013
141,Second qualifying round,Renova,MKD,2013
142,Second qualifying round,Senica,SVK,2013
143,Second qualifying round,Shakhtyor,BLR,2013
144,Second qualifying round,Shirak,ARM,2013
145,Second qualifying round,Široki Brijeg,BIH,2013
146,Second qualifying round,Skonto,LVA,2013
147,Second qualifying round,Sligo,IRL,2013
148,Second qualifying round,Slovan Bratislava,SVK,2013
149,Second qualifying round,St Johnstone,SCO,2013
150,Second qualifying round,Sūduva,LTU,2013
151,Second qualifying round,Thór,ISL,2013
152,Second qualifying round,Tirana,ALB,2013
153,Second qualifying round,Xäzär Länkäran,AZE,2013
154,Second qualifying round,Žalgiris,LTU,2013
155,Second qualifying round,Zimbru,MDA,2013
156,First qualifying round,Bakı,AZE,2013
157,First qualifying round,Bangor,WAL,2013
158,First qualifying round,Birkirkara,MLT,2013
159,First qualifying round,Bohemians,IRL,2013
160,First qualifying round,Borac,BIH,2013
161,First qualifying round,Cefn Druids,WAL,2013
162,First qualifying round,Celje,SVN,2013
163,First qualifying round,Cliftonville,NIR,2013
164,First qualifying round,Crusaders,NIR,2013
165,First qualifying round,Daugava Daugavpils,LVA,2013
166,First qualifying round,EB/Streymur,FRO,2013
167,First qualifying round,Eschen/Mauren,LIE,2013
168,First qualifying round,FC Santa Coloma,AND,2013
169,First qualifying round,Flamurtari,ALB,2013
170,First qualifying round,Floriana,MLT,2013
171,First qualifying round,Grevenmacher,LUX,2013
172,First qualifying round,Hibernians,MLT,2013
173,First qualifying round,ÍBV,ISL,2013
174,First qualifying round,Jagodina,SRB,2013
175,First qualifying round,Jeunesse Esch,LUX,2013
176,First qualifying round,Kalju,EST,2013
177,First qualifying round,La Fiorita,SMR,2013
178,First qualifying round,Libertas,SMR,2013
179,First qualifying round,Llanelli,WAL,2013
180,First qualifying round,MTK,HUN,2013
181,First qualifying round,NSÍ,FRO,2013
182,First qualifying round,Pyunik,ARM,2013
183,First qualifying round,Rudar Pljevlja,MNE,2013
184,First qualifying round,Shkëndija,MKD,2013
185,First qualifying round,Šiauliai,LTU,2013
186,First qualifying round,Stabæk,NOR,2013
187,First qualifying round,Teuta,ALB,2013
188,First qualifying round,Torpedo Kutaisi,GEO,2013
189,First qualifying round,Trans,EST,2013
190,First qualifying round,UE Santa Coloma,AND,2013
191,First qualifying round,Vikingur,FRO,2013
192,First qualifying round,Zhetysu,KAZ,2013
0,Final,Benfica,POR,2014
1,Final,Sevilla,ESP,2014
2,Semi-finals,Juventus,ITA,2014
3,Semi-finals,Valencia,ESP,2014
4,Quarter-finals,AZ Alkmaar,NED,2014
5,Quarter-finals,Basel,SUI,2014
6,Quarter-finals,Lyon,FRA,2014
7,Quarter-finals,Porto,POR,2014
8,Round of 16,Anji,RUS,2014
9,Round of 16,Betis,ESP,2014
10,Round of 16,Fiorentina,ITA,2014
11,Round of 16,Ludogorets,BUL,2014
12,Round of 16,Napoli,ITA,2014
13,Round of 16,Plzeň,CZE,2014
14,Round of 16,Salzburg,AUT,2014
15,Round of 16,Tottenham,ENG,2014
16,Round of 32,Ajax,NED,2014
17,Round of 32,Chornomorets Odesa,UKR,2014
18,Round of 32,Dnipro,UKR,2014
19,Round of 32,Dynamo Kyiv,UKR,2014
20,Round of 32,Esbjerg,DEN,2014
21,Round of 32,Frankfurt,GER,2014
22,Round of 32,Genk,BEL,2014
23,Round of 32,Lazio,ITA,2014
24,Round of 32,Liberec,CZE,2014
25,Round of 32,M. Tel-Aviv,ISR,2014
26,Round of 32,Maribor,SVN,2014
27,Round of 32,PAOK,GRE,2014
28,Round of 32,Rubin,RUS,2014
29,Round of 32,Shakhtar Donetsk,UKR,2014
30,Round of 32,Swansea,ENG,2014
31,Round of 32,Trabzonspor,TUR,2014
32,Group stage,APOEL,CYP,2014
33,Group stage,Apollon,CYP,2014
34,Group stage,Bordeaux,FRA,2014
35,Group stage,Dinamo Zagreb,CRO,2014
36,Group stage,Elfsborg,SWE,2014
37,Group stage,Estoril,POR,2014
38,Group stage,Freiburg,GER,2014
39,Group stage,Kuban,RUS,2014
40,Group stage,Legia,POL,2014
41,Group stage,M. Haifa,ISR,2014
42,Group stage,Paços Ferreira,POR,2014
43,Group stage,Pandurii,ROU,2014
44,Group stage,PSV,NED,2014
45,Group stage,Rapid Wien,AUT,2014
46,Group stage,Rijeka,CRO,2014
47,Group stage,Shakhter,KAZ,2014
48,Group stage,Sheriff,MDA,2014
49,Group stage,St. Gallen,SUI,2014
50,Group stage,Standard Liège,BEL,2014
51,Group stage,Thun,SUI,2014
52,Group stage,Tromsø,NOR,2014
53,Group stage,Vitória SC,POR,2014
54,Group stage,Wigan,ENG,2014
55,Group stage,Zulte Waregem,BEL,2014
56,Play-offs,Aktobe,KAZ,2014
57,Play-offs,Astra,ROU,2014
58,Play-offs,Atromitos,GRE,2014
59,Play-offs,Beşiktaş,TUR,2014
60,Play-offs,Braga,POR,2014
61,Play-offs,Dila,GEO,2014
62,Play-offs,Dinamo Tbilisi,GEO,2014
63,Play-offs,Feyenoord,NED,2014
64,Play-offs,FH,ISL,2014
65,Play-offs,Grasshoppers,SUI,2014
66,Play-offs,Jablonec,CZE,2014
67,Play-offs,Kalju,EST,2014
68,Play-offs,Kukës,ALB,2014
69,Play-offs,Minsk,BLR,2014
70,Play-offs,Molde,NOR,2014
71,Play-offs,Nice,FRA,2014
72,Play-offs,Nordsjælland,DEN,2014
73,Play-offs,Partizan,SRB,2014
74,Play-offs,Pasching,AUT,2014
75,Play-offs,Petrolul,ROU,2014
76,Play-offs,Qarabağ,AZE,2014
77,Play-offs,Skënderbeu,ALB,2014
78,Play-offs,Śląsk,POL,2014
79,Play-offs,Spartak Moskva,RUS,2014
80,Play-offs,St-Étienne,FRA,2014
81,Play-offs,Stuttgart,GER,2014
82,Play-offs,Udinese,ITA,2014
83,Play-offs,Vojvodina,SRB,2014
84,Play-offs,Žalgiris,LTU,2014
85,Third qualifying round,Asteras,GRE,2014
86,Third qualifying round,Botev Plovdiv,BUL,2014
87,Third qualifying round,Breidablik,ISL,2014
88,Third qualifying round,Bursaspor,TUR,2014
89,Third qualifying round,Club Brugge,BEL,2014
90,Third qualifying round,Crvena zvezda,SRB,2014
91,Third qualifying round,Differdange,LUX,2014
92,Third qualifying round,Dinamo Minsk,BLR,2014
93,Third qualifying round,Gefle,SWE,2014
94,Third qualifying round,H. Ramat Gan,ISR,2014
95,Third qualifying round,H. Tel-Aviv,ISR,2014
96,Third qualifying round,Häcken,SWE,2014
97,Third qualifying round,Hajduk Split,CRO,2014
98,Third qualifying round,Lech,POL,2014
99,Third qualifying round,Malmö,SWE,2014
100,Third qualifying round,Metalurh Donetsk,UKR,2014
101,Third qualifying round,Milsami,MDA,2014
102,Third qualifying round,Motherwell,SCO,2014
103,Third qualifying round,Randers,DEN,2014
104,Third qualifying round,Široki Brijeg,BIH,2014
105,Third qualifying round,St Johnstone,SCO,2014
106,Third qualifying round,Strømsgodset,NOR,2014
107,Third qualifying round,Titograd,MNE,2014
108,Third qualifying round,Trenčín,SVK,2014
109,Third qualifying round,Ventspils,LVA,2014
110,Third qualifying round,Vitesse,NED,2014
111,Third qualifying round,Xanthi,GRE,2014
112,Third qualifying round,Žilina,SVK,2014
113,Third qualifying round,Zürich,SUI,2014
114,Second qualifying round,AaB,DEN,2014
115,Second qualifying round,Anorthosis,CYP,2014
116,Second qualifying round,Beroe,BUL,2014
117,Second qualifying round,Chikhura,GEO,2014
118,Second qualifying round,Dacia,MDA,2014
119,Second qualifying round,Debrecen,HUN,2014
120,Second qualifying round,Derry,IRL,2014
121,Second qualifying round,Göteborg,SWE,2014
122,Second qualifying round,Hibernian,SCO,2014
123,Second qualifying round,Hødd,NOR,2014
124,Second qualifying round,Honka,FIN,2014
125,Second qualifying round,Honvéd,HUN,2014
126,Second qualifying round,ÍBV,ISL,2014
127,Second qualifying round,Irtysh,KAZ,2014
128,Second qualifying round,Jagodina,SRB,2014
129,Second qualifying round,Jeunesse Esch,LUX,2014
130,Second qualifying round,Keşla,AZE,2014
131,Second qualifying round,KR Reykjavik,ISL,2014
132,Second qualifying round,Levadia,EST,2014
133,Second qualifying round,Linfield,NIR,2014
134,Second qualifying round,Lokomotiva Zagreb,CRO,2014
135,Second qualifying round,Olimpija Ljubljana,SVN,2014
136,Second qualifying round,Omonoia,CYP,2014
137,Second qualifying round,Piast,POL,2014
138,Second qualifying round,Prestatyn,WAL,2014
139,Second qualifying round,Pyunik,ARM,2014
140,Second qualifying round,Rosenborg,NOR,2014
141,Second qualifying round,Rudar Pljevlja,MNE,2014
142,Second qualifying round,Sarajevo,BIH,2014
143,Second qualifying round,Senica,SVK,2014
144,Second qualifying round,Shakhtyor,BLR,2014
145,Second qualifying round,Skonto,LVA,2014
146,Second qualifying round,Sparta Praha,CZE,2014
147,Second qualifying round,Sturm,AUT,2014
148,Second qualifying round,Turnovo,MKD,2014
149,Second qualifying round,Utrecht,NED,2014
150,Second qualifying round,Valletta,MLT,2014
151,Second qualifying round,Vikingur,FRO,2014
152,Second qualifying round,Xäzär Länkäran,AZE,2014
153,Second qualifying round,Zrinjski,BIH,2014
154,First qualifying round,Astana,KAZ,2014
155,First qualifying round,Bala,WAL,2014
156,First qualifying round,Broughton,WAL,2014
157,First qualifying round,Čelik Nikšić,MNE,2014
158,First qualifying round,Celje,SVN,2014
159,First qualifying round,Crusaders,NIR,2014
160,First qualifying round,Diddeleng,LUX,2014
161,First qualifying round,Domžale,SVN,2014
162,First qualifying round,Drogheda,IRL,2014
163,First qualifying round,FC Santa Coloma,AND,2014
164,First qualifying round,Fehérvár,HUN,2014
165,First qualifying round,Flora,EST,2014
166,First qualifying round,Gandzasar,ARM,2014
167,First qualifying round,Glentoran,NIR,2014
168,First qualifying round,HB,FRO,2014
169,First qualifying round,Hibernians,MLT,2014
170,First qualifying round,ÍF,FRO,2014
171,First qualifying round,Inter Turku,FIN,2014
172,First qualifying round,Kruoja,LTU,2014
173,First qualifying round,La Fiorita,SMR,2014
174,First qualifying round,Laç,ALB,2014
175,First qualifying round,Levski,BUL,2014
176,First qualifying round,Libertas,SMR,2014
177,First qualifying round,Liepājas Metalurgs,LVA,2014
178,First qualifying round,Mariehamn,FIN,2014
179,First qualifying round,Metalurg Skopje,MKD,2014
180,First qualifying round,Mika,ARM,2014
181,First qualifying round,Sliema,MLT,2014
182,First qualifying round,St Patrick's,IRL,2014
183,First qualifying round,Sūduva,LTU,2014
184,First qualifying round,Teteks,MKD,2014
185,First qualifying round,Teuta,ALB,2014
186,First qualifying round,Tiraspol,MDA,2014
187,First qualifying round,Torpedo Kutaisi,GEO,2014
188,First qualifying round,TPS,FIN,2014
189,First qualifying round,Trans,EST,2014
190,First qualifying round,UE Santa Coloma,AND,2014
191,First qualifying round,Vaduz,LIE,2014
0,Final,Dnipro,UKR,2015
1,Final,Sevilla,ESP,2015
2,Semi-finals,Fiorentina,ITA,2015
3,Semi-finals,Napoli,ITA,2015
4,Quarter-finals,Club Brugge,BEL,2015
5,Quarter-finals,Dynamo Kyiv,UKR,2015
6,Quarter-finals,Wolfsburg,GER,2015
7,Quarter-finals,Zenit,RUS,2015
8,Round of 16,Ajax,NED,2015
9,Round of 16,Beşiktaş,TUR,2015
10,Round of 16,Dynamo Moscow,RUS,2015
11,Round of 16,Everton,ENG,2015
12,Round of 16,Inter,ITA,2015
13,Round of 16,Roma,ITA,2015
14,Round of 16,Torino,ITA,2015
15,Round of 16,Villarreal,ESP,2015
16,Round of 32,AaB,DEN,2015
17,Round of 32,Anderlecht,BEL,2015
18,Round of 32,Athletic Club,ESP,2015
19,Round of 32,Celtic,SCO,2015
20,Round of 32,Feyenoord,NED,2015
21,Round of 32,Guingamp,FRA,2015
22,Round of 32,Legia,POL,2015
23,Round of 32,Liverpool,ENG,2015
24,Round of 32,Mönchengladbach,GER,2015
25,Round of 32,Olympiacos,GRE,2015
26,Round of 32,PSV,NED,2015
27,Round of 32,Salzburg,AUT,2015
28,Round of 32,Sporting CP,POR,2015
29,Round of 32,Tottenham,ENG,2015
30,Round of 32,Trabzonspor,TUR,2015
31,Round of 32,Young Boys,SUI,2015
32,Group stage,Apollon,CYP,2015
33,Group stage,Asteras,GRE,2015
34,Group stage,Astra,ROU,2015
35,Group stage,Copenhagen,DEN,2015
36,Group stage,Dinamo Minsk,BLR,2015
37,Group stage,Dinamo Zagreb,CRO,2015
38,Group stage,Estoril,POR,2015
39,Group stage,FCSB,ROU,2015
40,Group stage,HJK,FIN,2015
41,Group stage,Krasnodar,RUS,2015
42,Group stage,Lokeren,BEL,2015
43,Group stage,LOSC,FRA,2015
44,Group stage,Metalist,UKR,2015
45,Group stage,Panathinaikos,GRE,2015
46,Group stage,PAOK,GRE,2015
47,Group stage,Partizan,SRB,2015
48,Group stage,Qarabağ,AZE,2015
49,Group stage,Rijeka,CRO,2015
50,Group stage,Rio Ave,POR,2015
51,Group stage,Slovan Bratislava,SVK,2015
52,Group stage,Sparta Praha,CZE,2015
53,Group stage,Standard Liège,BEL,2015
54,Group stage,St-Étienne,FRA,2015
55,Group stage,Zürich,SUI,2015
