stage,club,country,year
Group stage,Nordsjælland,DEN,2013
Group stage,Olympiacos,GRE,2013
Group stage,Spartak Moskva,RUS,2013
Group stage,Zenit,RUS,2013
Play-offs,AEL,CYP,2013
Play-offs,Basel,SUI,2013
Play-offs,Copenhagen,DEN,2013
Play-offs,Fenerbahçe,TUR,2013
Play-offs,H. Kiryat Shmona,ISR,2013
Play-offs,Helsingborg,SWE,2013
Play-offs,Maribor,SVN,2013
Play-offs,Mönchengladbach,GER,2013
Play-offs,Panathinaikos,GRE,2013
Play-offs,Udinese,ITA,2013
Third qualifying round,Club Brugge,BEL,2013
Third qualifying round,Debrecen,HUN,2013
Third qualifying round,Diddeleng,LUX,2013
Third qualifying round,Ekranas,LTU,2013
Third qualifying round,Feyenoord,NED,2013
Third qualifying round,HJK,FIN,2013
Third qualifying round,Liberec,CZE,2013
Third qualifying round,Molde,NOR,2013
Third qualifying round,Motherwell,SCO,2013
Third qualifying round,Neftçi,AZE,2013
Third qualifying round,Partizan,SRB,2013
Third qualifying round,Sheriff,MDA,2013
Third qualifying round,Śląsk,POL,2013
Third qualifying round,Vaslui,ROU,2013
Second qualifying round,Budućnost Podgorica,MNE,2013
Second qualifying round,Flora,EST,2013
Second qualifying round,KR Reykjavik,ISL,2013
Second qualifying round,Linfield,NIR,2013
Second qualifying round,Ludogorets,BUL,2013
Second qualifying round,Salzburg,AUT,2013
Second qualifying round,Shakhter,KAZ,2013
Second qualifying round,Shamrock Rovers,IRL,2013
Second qualifying round,Skënderbeu,ALB,2013
Second qualifying round,TNS,WAL,2013
Second qualifying round,Ulisses,ARM,2013
Second qualifying round,Valletta,MLT,2013
Second qualifying round,Vardar,MKD,2013
Second qualifying round,Ventspils,LVA,2013
Second qualifying round,Željezničar,BIH,2013
Second qualifying round,Zestafoni,GEO,2013
Second qualifying round,Žilina,SVK,2013
First qualifying round,B36,FRO,2013
First qualifying round,Lusitans,AND,2013
First qualifying round,Tre Penne,SMR,2013
Final,Atlético,ESP,2014
Final,Real Madrid,ESP,2014
Semi-finals,Bayern,GER,2014
Semi-finals,Chelsea,ENG,2014
Quarter-finals,Barcelona,ESP,2014
Quarter-finals,Dortmund,GER,2014
Quarter-finals,Man United,ENG,2014
Quarter-finals,Paris,FRA,2014
Round of 16,Arsenal,ENG,2014
Round of 16,Galatasaray,TUR,2014
Round of 16,Leverkusen,GER,2014
Round of 16,Man City,ENG,2014
Round of 16,Milan,ITA,2014
Round of 16,Olympiacos,GRE,2014
Round of 16,Schalke,GER,2014
Round of 16,Zenit,RUS,2014
Group stage,Ajax,NED,2014
Group stage,Anderlecht,BEL,2014
Group stage,Austria Wien,AUT,2014
Group stage,Basel,SUI,2014
Group stage,Benfica,POR,2014
Group stage,Celtic,SCO,2014
Group stage,Copenhagen,DEN,2014
Group stage,CSKA Moskva,RUS,2014
Group stage,FCSB,ROU,2014
Group stage,Juventus,ITA,2014
Group stage,Marseille,FRA,2014
Group stage,Napoli,ITA,2014
Group stage,Plzeň,CZE,2014
Group stage,Porto,POR,2014
Group stage,Real Sociedad,ESP,2014
Group stage,Shakhtar Donetsk,UKR,2014
Play-offs,Dinamo Zagreb,CRO,2014
Play-offs,Fenerbahçe,TUR,2014
Play-offs,Legia,POL,2014
Play-offs,Ludogorets,BUL,2014
Play-offs,Lyon,FRA,2014
Play-offs,Maribor,SVN,2014
Play-offs,Metalist,UKR,2014
Play-offs,Paços Ferreira,POR,2014
Play-offs,PAOK,GRE,2014
Play-offs,PSV,NED,2014
Play-offs,Shakhter,KAZ,2014
Third qualifying round,APOEL,CYP,2014
Third qualifying round,Dinamo Tbilisi,GEO,2014
Third qualifying round,Elfsborg,SWE,2014
Third qualifying round,FH,ISL,2014
Third qualifying round,Grasshoppers,SUI,2014
Third qualifying round,Kalju,EST,2014
Third qualifying round,M. Tel-Aviv,ISR,2014
Third qualifying round,Molde,NOR,2014
Third qualifying round,Nordsjælland,DEN,2014
Third qualifying round,Partizan,SRB,2014
Third qualifying round,Salzburg,AUT,2014
Third qualifying round,Sheriff,MDA,2014
